<DTYYYYMMDD>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20181126;161500;1.13622;1.13635;1.13501;1.13540;993
20181126;163000;1.13540;1.13588;1.13537;1.13563;1001
20181126;164500;1.13563;1.13575;1.13490;1.13528;909
20181126;170000;1.13528;1.13568;1.13483;1.13516;1068
20181126;171500;1.13516;1.13545;1.13411;1.13433;1034
20181126;173000;1.13432;1.13464;1.13411;1.13459;778
20181126;174500;1.13459;1.13483;1.13375;1.13395;1062
20181126;180000;1.13395;1.13439;1.13376;1.13417;1030
20181126;181500;1.13417;1.13467;1.13380;1.13401;894
20181126;183000;1.13401;1.13478;1.13366;1.13381;1077
20181126;184500;1.13381;1.13420;1.13346;1.13347;631
20181126;190000;1.13347;1.13427;1.13339;1.13425;459
20181126;191500;1.13425;1.13443;1.13409;1.13424;437
20181126;193000;1.13425;1.13443;1.13400;1.13417;462
20181126;194500;1.13417;1.13422;1.13359;1.13385;366
20181126;200000;1.13385;1.13421;1.13326;1.13330;386
20181126;201500;1.13330;1.13342;1.13252;1.13318;825
20181126;203000;1.13318;1.13328;1.13272;1.13293;499
20181126;204500;1.13293;1.13310;1.13276;1.13299;381
20181126;210000;1.13299;1.13332;1.13287;1.13331;388
20181126;211500;1.13332;1.13342;1.13301;1.13309;306
20181126;213000;1.13308;1.13323;1.13301;1.13312;246
20181126;214500;1.13312;1.13325;1.13278;1.13281;421
20181126;220000;1.13281;1.13332;1.13281;1.13321;348
20181126;221500;1.13321;1.13328;1.13316;1.13322;321
20181126;223000;1.13322;1.13335;1.13317;1.13331;202
20181126;224500;1.13331;1.13349;1.13324;1.13337;267
20181126;230000;1.13333;1.13352;1.13291;1.13297;279
20181126;231500;1.13301;1.13308;1.13246;1.13268;238
20181126;233000;1.13268;1.13280;1.13247;1.13268;246
20181126;234500;1.13267;1.13278;1.13252;1.13273;313
20181127;000000;1.13274;1.13305;1.13252;1.13285;404
20181127;001500;1.13285;1.13305;1.13275;1.13287;396
20181127;003000;1.13288;1.13292;1.13279;1.13284;200
20181127;004500;1.13284;1.13321;1.13282;1.13300;414
20181127;010000;1.13299;1.13318;1.13291;1.13303;222
20181127;011500;1.13303;1.13311;1.13296;1.13308;220
20181127;013000;1.13308;1.13334;1.13301;1.13307;289
20181127;014500;1.13307;1.13339;1.13302;1.13327;172
20181127;020000;1.13327;1.13337;1.13302;1.13321;539
20181127;021500;1.13321;1.13346;1.13317;1.13340;374
20181127;023000;1.13340;1.13346;1.13318;1.13338;317
20181127;024500;1.13338;1.13350;1.13309;1.13325;444
20181127;030000;1.13325;1.13335;1.13311;1.13327;358
20181127;031500;1.13326;1.13328;1.13280;1.13298;457
20181127;033000;1.13297;1.13306;1.13283;1.13294;502
20181127;034500;1.13294;1.13310;1.13280;1.13287;367
20181127;040000;1.13287;1.13332;1.13278;1.13332;309
20181127;041500;1.13332;1.13350;1.13312;1.13342;304
20181127;043000;1.13342;1.13354;1.13331;1.13340;309
20181127;044500;1.13339;1.13339;1.13315;1.13325;265
20181127;050000;1.13325;1.13352;1.13316;1.13352;279
20181127;051500;1.13352;1.13393;1.13330;1.13376;385
20181127;053000;1.13376;1.13381;1.13353;1.13361;315
20181127;054500;1.13361;1.13363;1.13329;1.13332;291
20181127;060000;1.13332;1.13349;1.13329;1.13331;243
20181127;061500;1.13331;1.13346;1.13330;1.13346;163
20181127;063000;1.13346;1.13370;1.13337;1.13351;151
20181127;064500;1.13351;1.13380;1.13351;1.13368;195
20181127;070000;1.13368;1.13372;1.13357;1.13370;223
20181127;071500;1.13370;1.13421;1.13365;1.13398;453
20181127;073000;1.13398;1.13408;1.13378;1.13405;321
20181127;074500;1.13406;1.13425;1.13398;1.13422;323
20181127;080000;1.13422;1.13434;1.13396;1.13420;324
20181127;081500;1.13420;1.13420;1.13371;1.13389;461
20181127;083000;1.13389;1.13390;1.13334;1.13335;443
20181127;084500;1.13335;1.13337;1.13225;1.13285;1050
20181127;090000;1.13285;1.13361;1.13267;1.13291;1032
20181127;091500;1.13287;1.13319;1.13145;1.13170;1795
20181127;093000;1.13173;1.13426;1.13165;1.13213;4172
20181127;094500;1.13213;1.13243;1.13092;1.13114;1866
20181127;100000;1.13114;1.13167;1.13048;1.13068;1892
20181127;101500;1.13067;1.13132;1.13049;1.13098;1515
20181127;103000;1.13098;1.13176;1.13077;1.13153;1282
20181127;104500;1.13154;1.13169;1.13106;1.13115;1045
20181127;110000;1.13120;1.13217;1.13103;1.13188;1147
20181127;111500;1.13188;1.13241;1.13132;1.13225;1107
20181127;113000;1.13225;1.13250;1.13198;1.13223;851
20181127;114500;1.13223;1.13252;1.13089;1.13094;1116
20181127;120000;1.13094;1.13156;1.13088;1.13139;1022
20181127;121500;1.13139;1.13315;1.13134;1.13209;1672
20181127;123000;1.13209;1.13209;1.13131;1.13152;779
20181127;124500;1.13152;1.13175;1.13093;1.13173;964
20181127;130000;1.13174;1.13227;1.13156;1.13181;863
20181127;131500;1.13181;1.13211;1.13150;1.13201;915
20181127;133000;1.13201;1.13228;1.13173;1.13208;939
20181127;134500;1.13208;1.13236;1.13181;1.13191;706
20181127;140000;1.13190;1.13223;1.13167;1.13210;945
20181127;141500;1.13211;1.13212;1.13136;1.13186;871
20181127;143000;1.13186;1.13233;1.13178;1.13220;628
20181127;144500;1.13220;1.13283;1.13216;1.13272;766
20181127;150000;1.13271;1.13311;1.13237;1.13270;966
20181127;151500;1.13270;1.13361;1.13244;1.13244;1401
20181127;153000;1.13244;1.13263;1.13191;1.13246;1377
20181127;154500;1.13248;1.13260;1.13144;1.13198;1264
20181127;160000;1.13198;1.13294;1.13195;1.13277;838
20181127;161500;1.13276;1.13276;1.13220;1.13239;748
